"Name","Measure","Measure.Info","Geo.Type.Name","Geo.Place.Name","Time.Period","Data.Value","season_abb","Year","above_NAAQS_standard"
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Crotona -Tremont","Winter 2012-13",3.28,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","High Bridge - Morrisania","Winter 2012-13",3.33,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Hunts Point - Mott Haven","Winter 2012-13",1.81,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Greenpoint","Winter 2012-13",1.17,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Downtown - Heights - Slope","Winter 2012-13",0.91,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bedford Stuyvesant - Crown Heights","Winter 2012-13",1.11,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East New York","Winter 2012-13",1.01,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Sunset Park","Winter 2012-13",0.76,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Borough Park","Winter 2012-13",0.87,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East Flatbush - Flatbush","Winter 2012-13",1,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Canarsie - Flatlands","Winter 2012-13",0.77,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bensonhurst - Bay Ridge","Winter 2012-13",0.67,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Coney Island - Sheepshead Bay","Winter 2012-13",0.7,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Williamsburg - Bushwick","Winter 2012-13",1.25,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Washington Heights","Winter 2012-13",4.24,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Central Harlem - Morningside Heights","Winter 2012-13",3.08,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","East Harlem","Winter 2012-13",2.57,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Upper West Side","Winter 2012-13",3.91,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Upper East Side","Winter 2012-13",4.16,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Chelsea - Clinton","Winter 2012-13",2.57,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Gramercy Park - Murray Hill","Winter 2012-13",3.03,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Greenwich Village - SoHo","Winter 2012-13",1.94,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Union Square - Lower East Side","Winter 2012-13",2.12,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Lower Manhattan","Winter 2012-13",1.09,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Long Island City - Astoria","Winter 2012-13",1.68,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","West Queens","Winter 2012-13",1.6,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Flushing - Clearview","Winter 2012-13",1.17,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Bayside - Little Neck","Winter 2012-13",0.75,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Ridgewood - Forest Hills","Winter 2012-13",1.21,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Fresh Meadows","Winter 2012-13",0.98,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Southwest Queens","Winter 2012-13",0.93,"W",2013,FALSE
"Sulfur Dioxide (SO2)","Mean","ppb","UHF42","Jamaica","Winter 2012-13",0.77,"W",2013,FALSE
